[[34m2026-04-26 00:32:26[0m] Using peak_device_tflops=989.00 TFLOPs (per GPU).
[[34m2026-04-26 00:32:29[0m] Training arguments TrainingArguments(visual_gen=True, visual_und=True, results_dir='/mnt/wangty/diffuser_workdir/bagel/workdir/zyzg_1e-5/result', checkpoint_dir='/mnt/wangty/diffuser_workdir/bagel/workdir/zyzg_1e-5/result/checkpoints', wandb_project='bagel', wandb_name='run', wandb_runid='0', wandb_resume='allow', wandb_offline=True, global_seed=4396, auto_resume=True, resume_from='/mnt/wangty/model/BAGEL-7B-MoT', resume_model_only=True, finetune_from_ema=True, finetune_from_hf=True, log_every=10, save_every=1500, total_steps=5000, max_save=2, warmup_steps=200, lr_scheduler='cosine', lr=1e-05, min_lr=1e-07, beta1=0.9, beta2=0.95, eps=1e-15, ema=0.9999, disable_ema=True, max_grad_norm=1.0, timestep_shift=1.0, mse_weight=0.2, ce_weight=5.0, ce_loss_reweighting=False, expected_num_tokens=22500, gradient_accumulation_steps=1, peak_device_tflops=989.0, num_replicate=1, num_shard=8, sharding_strategy='HYBRID_SHARD', backward_prefetch='BACKWARD_PRE', cpu_offload=False, freeze_llm=False, freeze_vit=False, freeze_vae=True, freeze_und=False, copy_init_moe=True, use_flex=False)
[[34m2026-04-26 00:32:29[0m] Model arguments ModelArguments(model_path='/mnt/wangty/model/BAGEL-7B-MoT', llm_path='hf/Qwen2.5-0.5B-Instruct/', llm_qk_norm=True, tie_word_embeddings=False, layer_module='Qwen2MoTDecoderLayer', vae_path='flux/vae/ae.safetensors', vit_path='hf/siglip-so400m-14-980-flash-attn2-navit/', max_latent_size=64, latent_patch_size=2, vit_patch_size=14, vit_max_num_patch_per_side=70, connector_act='gelu_pytorch_tanh', interpolate_pos=False, vit_select_layer=-2, vit_rope=False, text_cond_dropout_prob=0.0, vae_cond_dropout_prob=0.0, vit_cond_dropout_prob=0.0)
[[34m2026-04-26 00:32:29[0m] Data arguments DataArguments(dataset_config_file='./data/configs/zyzg.yaml', prefetch_factor=2, num_workers=1, max_num_tokens_per_sample=17500, max_num_tokens=24500, prefer_buffer_before=16384, max_buffer_size=50, data_seed=42)
[[34m2026-04-26 00:35:12[0m] Model parameter count: 14.61B (LM-only: 14.14B)
[[34m2026-04-26 00:35:12[0m] Loading checkpoint from /mnt/wangty/model/BAGEL-7B-MoT.
[[34m2026-04-26 00:36:50[0m] _IncompatibleKeys(missing_keys=['latent_pos_embed.pos_embed', 'vit_pos_embed.pos_embed'], unexpected_keys=[])
[[34m2026-04-26 00:39:05[0m] Using peak_device_tflops=989.00 TFLOPs (per GPU).
[[34m2026-04-26 00:39:09[0m] Training arguments TrainingArguments(visual_gen=True, visual_und=True, results_dir='/mnt/wangty/diffuser_workdir/bagel/workdir/zyzg_1e-5/result', checkpoint_dir='/mnt/wangty/diffuser_workdir/bagel/workdir/zyzg_1e-5/result/checkpoints', wandb_project='bagel', wandb_name='run', wandb_runid='0', wandb_resume='allow', wandb_offline=True, global_seed=4396, auto_resume=True, resume_from='/mnt/wangty/model/BAGEL-7B-MoT', resume_model_only=True, finetune_from_ema=True, finetune_from_hf=True, log_every=10, save_every=1500, total_steps=5000, max_save=2, warmup_steps=200, lr_scheduler='cosine', lr=1e-05, min_lr=1e-07, beta1=0.9, beta2=0.95, eps=1e-15, ema=0.9999, disable_ema=True, max_grad_norm=1.0, timestep_shift=1.0, mse_weight=0.2, ce_weight=5.0, ce_loss_reweighting=False, expected_num_tokens=22500, gradient_accumulation_steps=1, peak_device_tflops=989.0, num_replicate=1, num_shard=8, sharding_strategy='HYBRID_SHARD', backward_prefetch='BACKWARD_PRE', cpu_offload=False, freeze_llm=False, freeze_vit=False, freeze_vae=True, freeze_und=False, copy_init_moe=True, use_flex=False)
[[34m2026-04-26 00:39:09[0m] Model arguments ModelArguments(model_path='/mnt/wangty/model/BAGEL-7B-MoT', llm_path='hf/Qwen2.5-0.5B-Instruct/', llm_qk_norm=True, tie_word_embeddings=False, layer_module='Qwen2MoTDecoderLayer', vae_path='flux/vae/ae.safetensors', vit_path='hf/siglip-so400m-14-980-flash-attn2-navit/', max_latent_size=64, latent_patch_size=2, vit_patch_size=14, vit_max_num_patch_per_side=70, connector_act='gelu_pytorch_tanh', interpolate_pos=False, vit_select_layer=-2, vit_rope=False, text_cond_dropout_prob=0.0, vae_cond_dropout_prob=0.0, vit_cond_dropout_prob=0.0)
[[34m2026-04-26 00:39:09[0m] Data arguments DataArguments(dataset_config_file='./data/configs/zyzg.yaml', prefetch_factor=2, num_workers=1, max_num_tokens_per_sample=17500, max_num_tokens=24500, prefer_buffer_before=16384, max_buffer_size=50, data_seed=42)
[[34m2026-04-26 00:41:54[0m] Model parameter count: 14.61B (LM-only: 14.14B)
[[34m2026-04-26 00:41:55[0m] Loading checkpoint from /mnt/wangty/model/BAGEL-7B-MoT.
[[34m2026-04-26 00:42:23[0m] _IncompatibleKeys(missing_keys=['latent_pos_embed.pos_embed', 'vit_pos_embed.pos_embed'], unexpected_keys=[])
[[34m2026-04-26 00:42:40[0m] Training for 5000 steps, starting at 0...
[[34m2026-04-26 00:42:52[0m] (step=0000000) Train Loss mse: 0.2597, Train Loss ce: 2.3539, Train Steps/Sec: 0.86, Tokens/Sec: 16.13k, MFU: 10.8%, Local Samples: 4, Global Samples: 32, Seq Len: 23483, Sample Lens: [5876, 5868, 5876, 5863], ETA: 1.62h, 
[[34m2026-04-26 00:43:52[0m] (step=0000010) Train Loss mse: 0.2688, Train Loss ce: 2.3375, Train Steps/Sec: 0.17, Tokens/Sec: 31.39k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23472, Sample Lens: [5873, 5863, 5863, 5873], ETA: 8.29h, 
[[34m2026-04-26 00:44:52[0m] (step=0000020) Train Loss mse: 0.2945, Train Loss ce: 1.9094, Train Steps/Sec: 0.17, Tokens/Sec: 31.35k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23475, Sample Lens: [5863, 5876, 5863, 5873], ETA: 8.29h, 
[[34m2026-04-26 00:45:52[0m] (step=0000030) Train Loss mse: 0.2939, Train Loss ce: 1.1816, Train Steps/Sec: 0.17, Tokens/Sec: 31.23k, MFU: 20.8%, Local Samples: 4, Global Samples: 32, Seq Len: 23457, Sample Lens: [5863, 5868, 5863, 5863], ETA: 8.30h, 
[[34m2026-04-26 00:46:52[0m] (step=0000040) Train Loss mse: 0.2316, Train Loss ce: 0.4106, Train Steps/Sec: 0.17, Tokens/Sec: 31.21k, MFU: 20.8%, Local Samples: 4, Global Samples: 32, Seq Len: 23475, Sample Lens: [5876, 5863, 5873, 5863], ETA: 8.29h, 
[[34m2026-04-26 00:47:52[0m] (step=0000050) Train Loss mse: 0.2745, Train Loss ce: 0.0671, Train Steps/Sec: 0.17, Tokens/Sec: 31.25k, MFU: 20.8%, Local Samples: 4, Global Samples: 32, Seq Len: 23478, Sample Lens: [5863, 5876, 5863, 5876], ETA: 8.26h, 
[[34m2026-04-26 00:48:52[0m] (step=0000060) Train Loss mse: 0.2565, Train Loss ce: 0.0374, Train Steps/Sec: 0.17, Tokens/Sec: 31.37k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23478, Sample Lens: [5863, 5876, 5863, 5876], ETA: 8.21h, 
[[34m2026-04-26 00:49:52[0m] (step=0000070) Train Loss mse: 0.2674, Train Loss ce: 0.0163, Train Steps/Sec: 0.17, Tokens/Sec: 31.25k, MFU: 20.8%, Local Samples: 4, Global Samples: 32, Seq Len: 23486, Sample Lens: [5876, 5871, 5876, 5863], ETA: 8.23h, 
[[34m2026-04-26 00:50:52[0m] (step=0000080) Train Loss mse: 0.2509, Train Loss ce: 0.0141, Train Steps/Sec: 0.17, Tokens/Sec: 31.36k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23478, Sample Lens: [5863, 5876, 5863, 5876], ETA: 8.18h, 
[[34m2026-04-26 00:51:52[0m] (step=0000090) Train Loss mse: 0.2471, Train Loss ce: 0.0099, Train Steps/Sec: 0.17, Tokens/Sec: 31.27k, MFU: 20.8%, Local Samples: 4, Global Samples: 32, Seq Len: 23475, Sample Lens: [5863, 5873, 5863, 5876], ETA: 8.19h, 
[[34m2026-04-26 00:52:52[0m] (step=0000100) Train Loss mse: 0.2369, Train Loss ce: 0.0147, Train Steps/Sec: 0.17, Tokens/Sec: 31.26k, MFU: 20.8%, Local Samples: 4, Global Samples: 32, Seq Len: 23475, Sample Lens: [5863, 5868, 5876, 5868], ETA: 8.17h, 
[[34m2026-04-26 00:53:52[0m] (step=0000110) Train Loss mse: 0.2590, Train Loss ce: 0.0206, Train Steps/Sec: 0.17, Tokens/Sec: 31.45k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23472, Sample Lens: [5873, 5863, 5873, 5863], ETA: 8.11h, 
[[34m2026-04-26 00:54:52[0m] (step=0000120) Train Loss mse: 0.2236, Train Loss ce: 0.0168, Train Steps/Sec: 0.17, Tokens/Sec: 31.39k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23480, Sample Lens: [5873, 5863, 5868, 5876], ETA: 8.11h, 
[[34m2026-04-26 00:55:52[0m] (step=0000130) Train Loss mse: 0.2259, Train Loss ce: 0.0216, Train Steps/Sec: 0.17, Tokens/Sec: 31.20k, MFU: 20.8%, Local Samples: 4, Global Samples: 32, Seq Len: 23475, Sample Lens: [5863, 5876, 5863, 5873], ETA: 8.14h, 
[[34m2026-04-26 00:56:52[0m] (step=0000140) Train Loss mse: 0.2439, Train Loss ce: 0.0116, Train Steps/Sec: 0.17, Tokens/Sec: 31.22k, MFU: 20.8%, Local Samples: 4, Global Samples: 32, Seq Len: 23465, Sample Lens: [5863, 5863, 5876, 5863], ETA: 8.12h, 
[[34m2026-04-26 00:57:52[0m] (step=0000150) Train Loss mse: 0.2513, Train Loss ce: 0.0099, Train Steps/Sec: 0.17, Tokens/Sec: 31.26k, MFU: 20.8%, Local Samples: 4, Global Samples: 32, Seq Len: 23462, Sample Lens: [5868, 5863, 5868, 5863], ETA: 8.09h, 
[[34m2026-04-26 00:58:52[0m] (step=0000160) Train Loss mse: 0.2510, Train Loss ce: 0.0113, Train Steps/Sec: 0.17, Tokens/Sec: 31.28k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23472, Sample Lens: [5863, 5873, 5863, 5873], ETA: 8.07h, 
[[34m2026-04-26 00:59:52[0m] (step=0000170) Train Loss mse: 0.2450, Train Loss ce: 0.0100, Train Steps/Sec: 0.17, Tokens/Sec: 31.51k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23462, Sample Lens: [5863, 5873, 5863, 5863], ETA: 8.00h, 
