[[34m2026-04-26 00:33:03[0m] Using peak_device_tflops=989.00 TFLOPs (per GPU).
[[34m2026-04-26 00:33:07[0m] Training arguments TrainingArguments(visual_gen=True, visual_und=True, results_dir='/mnt/wangty/diffuser_workdir/bagel/workdir/zjxxz_1e-5/result', checkpoint_dir='/mnt/wangty/diffuser_workdir/bagel/workdir/zjxxz_1e-5/result/checkpoints', wandb_project='bagel', wandb_name='run', wandb_runid='0', wandb_resume='allow', wandb_offline=True, global_seed=4396, auto_resume=True, resume_from='/mnt/wangty/model/BAGEL-7B-MoT', resume_model_only=True, finetune_from_ema=True, finetune_from_hf=True, log_every=10, save_every=1500, total_steps=5000, max_save=2, warmup_steps=200, lr_scheduler='cosine', lr=1e-05, min_lr=1e-07, beta1=0.9, beta2=0.95, eps=1e-15, ema=0.9999, disable_ema=True, max_grad_norm=1.0, timestep_shift=1.0, mse_weight=0.2, ce_weight=5.0, ce_loss_reweighting=False, expected_num_tokens=22500, gradient_accumulation_steps=1, peak_device_tflops=989.0, num_replicate=1, num_shard=8, sharding_strategy='HYBRID_SHARD', backward_prefetch='BACKWARD_PRE', cpu_offload=False, freeze_llm=False, freeze_vit=False, freeze_vae=True, freeze_und=False, copy_init_moe=True, use_flex=False)
[[34m2026-04-26 00:33:07[0m] Model arguments ModelArguments(model_path='/mnt/wangty/model/BAGEL-7B-MoT', llm_path='hf/Qwen2.5-0.5B-Instruct/', llm_qk_norm=True, tie_word_embeddings=False, layer_module='Qwen2MoTDecoderLayer', vae_path='flux/vae/ae.safetensors', vit_path='hf/siglip-so400m-14-980-flash-attn2-navit/', max_latent_size=64, latent_patch_size=2, vit_patch_size=14, vit_max_num_patch_per_side=70, connector_act='gelu_pytorch_tanh', interpolate_pos=False, vit_select_layer=-2, vit_rope=False, text_cond_dropout_prob=0.0, vae_cond_dropout_prob=0.0, vit_cond_dropout_prob=0.0)
[[34m2026-04-26 00:33:07[0m] Data arguments DataArguments(dataset_config_file='./data/configs/zjxxz.yaml', prefetch_factor=2, num_workers=1, max_num_tokens_per_sample=17500, max_num_tokens=24500, prefer_buffer_before=16384, max_buffer_size=50, data_seed=42)
[[34m2026-04-26 00:35:49[0m] Model parameter count: 14.61B (LM-only: 14.14B)
[[34m2026-04-26 00:35:50[0m] Loading checkpoint from /mnt/wangty/model/BAGEL-7B-MoT.
[[34m2026-04-26 00:37:32[0m] _IncompatibleKeys(missing_keys=['latent_pos_embed.pos_embed', 'vit_pos_embed.pos_embed'], unexpected_keys=[])
[[34m2026-04-26 00:37:55[0m] Training for 5000 steps, starting at 0...
[[34m2026-04-26 00:38:08[0m] (step=0000000) Train Loss mse: 0.2587, Train Loss ce: 2.4788, Train Steps/Sec: 0.79, Tokens/Sec: 14.75k, MFU: 9.8%, Local Samples: 4, Global Samples: 32, Seq Len: 23427, Sample Lens: [5856, 5857, 5857, 5857], ETA: 1.77h, 
[[34m2026-04-26 00:39:08[0m] (step=0000010) Train Loss mse: 0.2509, Train Loss ce: 2.4508, Train Steps/Sec: 0.17, Tokens/Sec: 31.08k, MFU: 20.7%, Local Samples: 4, Global Samples: 32, Seq Len: 23428, Sample Lens: [5857, 5857, 5857, 5857], ETA: 8.36h, 
[[34m2026-04-26 00:40:08[0m] (step=0000020) Train Loss mse: 0.2805, Train Loss ce: 1.9676, Train Steps/Sec: 0.17, Tokens/Sec: 31.30k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23427, Sample Lens: [5857, 5857, 5856, 5857], ETA: 8.28h, 
[[34m2026-04-26 00:41:08[0m] (step=0000030) Train Loss mse: 0.2750, Train Loss ce: 1.2617, Train Steps/Sec: 0.17, Tokens/Sec: 31.26k, MFU: 20.8%, Local Samples: 4, Global Samples: 32, Seq Len: 23425, Sample Lens: [5856, 5856, 5856, 5857], ETA: 8.28h, 
[[34m2026-04-26 00:42:08[0m] (step=0000040) Train Loss mse: 0.2310, Train Loss ce: 0.4361, Train Steps/Sec: 0.17, Tokens/Sec: 31.45k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23426, Sample Lens: [5857, 5856, 5856, 5857], ETA: 8.21h, 
[[34m2026-04-26 00:43:08[0m] (step=0000050) Train Loss mse: 0.2618, Train Loss ce: 0.1653, Train Steps/Sec: 0.17, Tokens/Sec: 31.26k, MFU: 20.8%, Local Samples: 4, Global Samples: 32, Seq Len: 23426, Sample Lens: [5857, 5856, 5857, 5856], ETA: 8.24h, 
[[34m2026-04-26 00:44:08[0m] (step=0000060) Train Loss mse: 0.2451, Train Loss ce: 0.0109, Train Steps/Sec: 0.17, Tokens/Sec: 31.16k, MFU: 20.8%, Local Samples: 4, Global Samples: 32, Seq Len: 23427, Sample Lens: [5857, 5857, 5857, 5856], ETA: 8.25h, 
[[34m2026-04-26 00:45:08[0m] (step=0000070) Train Loss mse: 0.2521, Train Loss ce: 0.0120, Train Steps/Sec: 0.17, Tokens/Sec: 31.34k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23427, Sample Lens: [5856, 5857, 5857, 5857], ETA: 8.19h, 
[[34m2026-04-26 00:46:08[0m] (step=0000080) Train Loss mse: 0.2462, Train Loss ce: 0.0096, Train Steps/Sec: 0.17, Tokens/Sec: 31.15k, MFU: 20.8%, Local Samples: 4, Global Samples: 32, Seq Len: 23426, Sample Lens: [5857, 5856, 5857, 5856], ETA: 8.22h, 
[[34m2026-04-26 00:47:08[0m] (step=0000090) Train Loss mse: 0.2454, Train Loss ce: 0.0148, Train Steps/Sec: 0.17, Tokens/Sec: 31.41k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23426, Sample Lens: [5857, 5856, 5857, 5856], ETA: 8.14h, 
[[34m2026-04-26 00:48:07[0m] (step=0000100) Train Loss mse: 0.2301, Train Loss ce: 0.0135, Train Steps/Sec: 0.17, Tokens/Sec: 31.41k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23427, Sample Lens: [5857, 5857, 5857, 5856], ETA: 8.12h, 
