[[34m2026-04-24 01:02:40[0m] Using peak_device_tflops=989.00 TFLOPs (per GPU).
[[34m2026-04-24 01:02:44[0m] Training arguments TrainingArguments(visual_gen=True, visual_und=True, results_dir='/mnt/wangty/diffuser_workdir/bagel/workdir/multi_f_1e-5/result', checkpoint_dir='/mnt/wangty/diffuser_workdir/bagel/workdir/multi_f_1e-5/result/checkpoints', wandb_project='bagel', wandb_name='run', wandb_runid='0', wandb_resume='allow', wandb_offline=True, global_seed=4396, auto_resume=True, resume_from='/mnt/wangty/model/BAGEL-7B-MoT', resume_model_only=True, finetune_from_ema=True, finetune_from_hf=True, log_every=10, save_every=1000, total_steps=5000, max_save=2, warmup_steps=200, lr_scheduler='cosine', lr=1e-05, min_lr=1e-07, beta1=0.9, beta2=0.95, eps=1e-15, ema=0.9999, disable_ema=True, max_grad_norm=1.0, timestep_shift=1.0, mse_weight=1.0, ce_weight=5.0, ce_loss_reweighting=False, expected_num_tokens=22500, gradient_accumulation_steps=1, peak_device_tflops=989.0, num_replicate=1, num_shard=8, sharding_strategy='HYBRID_SHARD', backward_prefetch='BACKWARD_PRE', cpu_offload=False, freeze_llm=False, freeze_vit=False, freeze_vae=True, freeze_und=False, copy_init_moe=True, use_flex=False)
[[34m2026-04-24 01:02:44[0m] Model arguments ModelArguments(model_path='/mnt/wangty/model/BAGEL-7B-MoT', llm_path='hf/Qwen2.5-0.5B-Instruct/', llm_qk_norm=True, tie_word_embeddings=False, layer_module='Qwen2MoTDecoderLayer', vae_path='flux/vae/ae.safetensors', vit_path='hf/siglip-so400m-14-980-flash-attn2-navit/', max_latent_size=64, latent_patch_size=2, vit_patch_size=14, vit_max_num_patch_per_side=70, connector_act='gelu_pytorch_tanh', interpolate_pos=False, vit_select_layer=-2, vit_rope=False, text_cond_dropout_prob=0.0, vae_cond_dropout_prob=0.0, vit_cond_dropout_prob=0.0)
[[34m2026-04-24 01:02:44[0m] Data arguments DataArguments(dataset_config_file='./data/configs/multi.yaml', prefetch_factor=2, num_workers=1, max_num_tokens_per_sample=17500, max_num_tokens=24500, prefer_buffer_before=16384, max_buffer_size=50, data_seed=42)
[[34m2026-04-24 01:05:24[0m] Model parameter count: 14.61B (LM-only: 14.14B)
[[34m2026-04-24 01:05:24[0m] Loading checkpoint from /mnt/wangty/model/BAGEL-7B-MoT.
[[34m2026-04-24 01:05:51[0m] _IncompatibleKeys(missing_keys=['latent_pos_embed.pos_embed', 'vit_pos_embed.pos_embed'], unexpected_keys=[])
[[34m2026-04-24 01:06:08[0m] Training for 5000 steps, starting at 0...
[[34m2026-04-24 01:06:24[0m] (step=0000000) Train Loss mse: 0.2596, Train Loss ce: 3.7433, Train Steps/Sec: 0.61, Tokens/Sec: 11.41k, MFU: 7.6%, Local Samples: 4, Global Samples: 32, Seq Len: 23246, Sample Lens: [5817, 5810, 5816, 5803], ETA: 2.26h, 
[[34m2026-04-24 01:07:23[0m] (step=0000010) Train Loss mse: 0.2689, Train Loss ce: 3.5789, Train Steps/Sec: 0.17, Tokens/Sec: 31.46k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23234, Sample Lens: [5813, 5803, 5803, 5815], ETA: 8.19h, 
[[34m2026-04-24 01:08:22[0m] (step=0000020) Train Loss mse: 0.2948, Train Loss ce: 3.2831, Train Steps/Sec: 0.17, Tokens/Sec: 31.50k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23235, Sample Lens: [5803, 5816, 5803, 5813], ETA: 8.16h, 
[[34m2026-04-24 01:09:21[0m] (step=0000030) Train Loss mse: 0.2945, Train Loss ce: 2.2525, Train Steps/Sec: 0.17, Tokens/Sec: 31.46k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23226, Sample Lens: [5806, 5810, 5805, 5805], ETA: 8.16h, 
[[34m2026-04-24 01:10:20[0m] (step=0000040) Train Loss mse: 0.2326, Train Loss ce: 1.2759, Train Steps/Sec: 0.17, Tokens/Sec: 31.51k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23238, Sample Lens: [5817, 5803, 5815, 5803], ETA: 8.13h, 
[[34m2026-04-24 01:11:19[0m] (step=0000050) Train Loss mse: 0.2747, Train Loss ce: 0.6637, Train Steps/Sec: 0.17, Tokens/Sec: 31.55k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23243, Sample Lens: [5805, 5817, 5803, 5818], ETA: 8.10h, 
[[34m2026-04-24 01:12:18[0m] (step=0000060) Train Loss mse: 0.2547, Train Loss ce: 0.1919, Train Steps/Sec: 0.17, Tokens/Sec: 31.56k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23244, Sample Lens: [5805, 5816, 5805, 5818], ETA: 8.08h, 
[[34m2026-04-24 01:13:17[0m] (step=0000070) Train Loss mse: 0.2657, Train Loss ce: 0.0606, Train Steps/Sec: 0.17, Tokens/Sec: 31.48k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23255, Sample Lens: [5819, 5814, 5819, 5803], ETA: 8.09h, 
[[34m2026-04-24 01:14:16[0m] (step=0000080) Train Loss mse: 0.2495, Train Loss ce: 0.0416, Train Steps/Sec: 0.17, Tokens/Sec: 31.46k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23244, Sample Lens: [5803, 5817, 5806, 5818], ETA: 8.08h, 
[[34m2026-04-24 01:15:16[0m] (step=0000090) Train Loss mse: 0.2439, Train Loss ce: 0.0399, Train Steps/Sec: 0.17, Tokens/Sec: 31.25k, MFU: 20.8%, Local Samples: 4, Global Samples: 32, Seq Len: 23237, Sample Lens: [5803, 5815, 5803, 5816], ETA: 8.11h, 
[[34m2026-04-24 01:16:15[0m] (step=0000100) Train Loss mse: 0.2339, Train Loss ce: 0.0416, Train Steps/Sec: 0.17, Tokens/Sec: 31.27k, MFU: 20.8%, Local Samples: 4, Global Samples: 32, Seq Len: 23240, Sample Lens: [5804, 5809, 5818, 5809], ETA: 8.09h, 
